date,messages,sessions,unique_ips,input_tokens,output_tokens,cost_usd
2026-05-26,36,12,15,81040,5604,0.0872
2026-05-28,4,2,2,9774,994,0.0118
2026-06-07,8,3,3,17192,1654,0.0204
2026-06-08,18,3,8,66751,3736,0.0683
2026-06-09,268,64,53,824102,66752,0.9263
2026-06-10,572,124,129,2069696,146493,2.2417
2026-06-11,406,54,84,2057641,122315,2.1354
2026-06-12,194,49,55,622883,61635,0.7448
2026-06-13,156,39,46,421388,33096,0.4695
2026-06-14,216,36,49,1071967,71324,1.1429
2026-06-15,214,33,61,782840,61170,0.8710
2026-06-16,136,19,22,615995,47637,0.6833
2026-06-17,195,18,28,1132159,73840,1.2011
2026-06-18,118,17,23,408578,30790,0.4500
2026-06-19,108,10,25,501591,32841,0.5326
2026-06-20,18,5,5,37963,3803,0.0456
2026-06-21,12,4,6,34648,2929,0.0394
2026-06-22,42,8,16,382233,46356,0.4912
2026-06-23,26,4,8,96003,10372,0.1183
2026-06-24,30,9,11,176850,18260,0.2145
2026-06-25,84,11,19,297908,23208,0.3312
2026-06-26,14,5,6,25416,1997,0.0283
2026-06-27,10,2,4,29899,1963,0.0318
2026-06-28,20,5,8,53252,5194,0.0634
2026-06-29,64,13,20,181594,11326,0.1906
2026-06-30,56,14,23,169072,16221,0.2001
2026-07-01,139,38,45,491233,46450,0.5788
2026-07-02,106,17,32,339518,28205,0.3844
2026-07-03,64,11,28,315725,30142,0.3731
2026-07-04,92,20,36,301444,20161,0.3218
2026-07-05,62,12,20,359648,29738,0.4067
2026-07-06,46,7,19,164303,18397,0.2050
2026-07-07,62,16,22,214343,23128,0.2640
2026-07-08,34,10,15,122981,14439,0.1561
2026-07-09,84,7,22,372563,20133,0.3786
2026-07-10,62,11,30,184507,22949,0.2394
2026-07-11,16,4,7,66570,9785,0.0924
2026-07-12,10,3,5,27158,1997,0.0297
2026-07-13,36,6,14,151466,16735,0.1881
2026-07-14,30,6,10,83092,7274,0.0956
2026-07-15,48,7,20,426104,47938,0.5326
2026-07-16,78,15,31,395510,70627,0.5989
2026-07-17,38,9,16,138490,18745,0.1858
2026-07-18,36,4,14,132055,17469,0.1755
2026-07-19,64,5,24,419045,29356,0.4527
2026-07-20,26,7,13,86535,6240,0.0942
2026-07-21,110,9,39,473833,22663,0.4697
2026-07-22,56,9,25,250562,43606,0.3749
2026-07-23,110,24,43,367308,37254,0.4429
2026-07-24,36,10,14,94966,6459,0.1018
2026-07-25,14,4,5,63342,5422,0.0724
2026-07-26,14,3,5,60597,7307,0.0777
2026-07-27,14,3,6,38681,2857,0.0424
2026-07-28,46,3,14,220611,9427,0.2142
2026-07-29,10,5,5,35622,2272,0.0376
2026-07-30,20,7,9,59782,4288,0.0650
2026-07-31,24,7,11,83197,7799,0.0978
2026-08-01,52,7,15,172438,10581,0.1803
2026-08-02,10,4,5,24812,2220,0.0287
2026-08-03,10,2,4,36974,5896,0.0532
2026-08-04,34,5,13,225513,22071,0.2687
2026-08-05,46,7,15,304104,45514,0.4253
2026-08-06,32,4,13,142220,9896,0.1534
2026-08-07,34,4,11,169172,9491,0.1733
2026-08-08,30,4,9,36888,21144,0.1141
2026-08-09,20,3,6,103640,12079,0.1312
2026-08-10,2,1,1,7441,575,0.0083
2026-08-11,20,5,8,73661,11674,0.1056
2026-08-12,48,8,21,240399,31188,0.3171
2026-08-13,28,7,13,85339,8704,0.1031
2026-08-14,10,4,5,26812,2467,0.0313
2026-08-15,10,1,4,28116,1936,0.0302
2026-08-16,20,4,7,56541,13847,0.1006
2026-08-17,64,5,14,695712,54049,0.7728
2026-08-18,44,3,15,297012,37531,0.3877
2026-08-19,38,7,16,179887,16044,0.2081
2026-08-20,22,2,8,128346,17833,0.1740
